STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3126;18810209;-999;-999;-999;    1;   7.5;   8;-999;-999;   7.7;   6.5;  991.60;    1.5;   93.00;    4.7;    0.0;-999;eor
       3126;18810210;-999;-999;-999;    1;   6.4;   8;-999;-999;   8.0;   6.8;  979.30;    2.7;   91.00;    5.9;   -0.9;-999;eor
       3126;18810211;-999;-999;-999;    1;   0.5;   7;-999;-999;   8.0;   5.7;  978.40;    0.0;   90.00;    6.0;   -2.1;-999;eor
       3126;18810212;-999;-999;-999;    1;   0.1;   7;-999;-999;   8.0;   3.5;  999.70;   -4.5;   79.00;   -2.1;   -6.2;-999;eor
       3126;18810213;-999;-999;-999;    1;   0.0;   0;-999;-999;   8.0;   3.5; 1011.80;   -6.0;   88.00;   -4.5;   -7.2;-999;eor
       3126;18810214;-999;-999;-999;    1;   0.0;   0;-999;-999;   3.7;   3.5; 1014.00;   -5.6;   86.00;   -3.8;   -6.5;-999;eor
       3126;18810215;-999;-999;-999;    1;   0.0;   0;-999;-999;   5.0;   3.3; 1012.70;   -7.4;   92.00;   -4.2;   -9.5;-999;eor
       3126;18810216;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.3;   4.7; 1011.60;   -2.3;   85.00;    0.5;   -6.6;-999;eor
       3126;18810217;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.7;   5.2; 1013.00;   -0.5;   88.00;    1.0;   -1.4;-999;eor
       3126;18810218;-999;-999;-999;    1;   0.0;   0;-999;-999;   6.3;   5.1; 1015.60;   -0.5;   82.00;    2.2;   -2.8;-999;eor
       3126;18810219;-999;-999;-999;    1;   0.3;   7;-999;-999;   5.7;   4.7; 1019.70;   -1.9;   88.00;    1.0;   -2.3;-999;eor
       3126;18810220;-999;-999;-999;    1;   0.7;   7;-999;-999;   7.7;   4.9; 1020.20;   -1.1;   86.00;    1.8;   -3.5;-999;eor
       3126;18810221;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.7;   5.6; 1020.20;    0.5;   86.00;    3.7;   -1.7;-999;eor
       3126;18810222;-999;-999;-999;    1;   0.0;   0;-999;-999;   4.7;   5.7; 1017.30;    1.4;   81.00;    5.4;   -0.6;-999;eor
       3126;18810223;-999;-999;-999;    1;   0.0;   0;-999;-999;   0.0;   5.1; 1017.50;    0.6;   76.00;    5.0;   -1.5;-999;eor
       3126;18810224;-999;-999;-999;    1;   0.3;   7;-999;-999;   2.0;   5.2; 1013.50;   -0.1;   82.00;    4.5;   -2.2;-999;eor
       3126;18810225;-999;-999;-999;    1;   0.0;   0;-999;-999;   8.0;   5.5; 1009.80;   -0.2;   90.00;    0.7;   -0.8;-999;eor
       3126;18810226;-999;-999;-999;    1;   0.0;   0;-999;-999;   5.0;   4.5; 1006.40;   -1.0;   77.00;    1.7;   -4.2;-999;eor
       3126;18810227;-999;-999;-999;    1;   2.1;   7;-999;-999;   6.7;   4.3; 1006.80;    0.0;   68.00;    1.8;   -1.0;-999;eor
       3126;18810228;-999;-999;-999;    1;   0.5;   7;-999;-999;   7.3;   6.0;  997.00;    1.0;   89.00;    3.3;   -1.0;-999;eor
       3126;18810301;-999;-999;-999;    1;   0.1;   7;-999;-999;   5.3;   4.3; 1005.40;   -1.9;   79.00;    1.9;   -3.2;-999;eor
       3126;18810302;-999;-999;-999;    1;   0.0;   0;-999;-999;   2.3;   4.5; 1017.70;   -1.4;   79.00;    3.6;   -5.0;-999;eor
       3126;18810303;-999;-999;-999;    1;   0.0;   0;-999;-999;   0.7;   3.3; 1022.40;   -3.9;   71.00;   -0.2;   -5.0;-999;eor
       3126;18810304;-999;-999;-999;    1;   0.3;   7;-999;-999;   7.7;   3.3; 1014.00;   -3.5;   69.00;   -1.5;   -6.8;-999;eor
       3126;18810305;-999;-999;-999;    1;   9.0;   7;-999;-999;   8.0;   3.9; 1005.00;   -3.1;   80.00;   -1.1;   -4.8;-999;eor
       3126;18810306;-999;-999;-999;    1;   7.2;   1;-999;-999;   8.0;   4.5;  997.90;   -3.4;   95.00;   -1.5;   -4.6;-999;eor
       3126;18810307;-999;-999;-999;    1;   1.9;   1;-999;-999;   7.7;   7.1;  995.10;    2.6;   94.00;    4.5;   -2.6;-999;eor
       3126;18810308;-999;-999;-999;    1;   7.0;   1;-999;-999;   6.7;   8.1;  995.60;    5.7;   86.00;    9.8;    3.3;-999;eor
       3126;18810309;-999;-999;-999;    1;  12.7;   1;-999;-999;   8.0;   7.6; 1001.80;    4.1;   91.00;    6.1;    1.4;-999;eor
       3126;18810310;-999;-999;-999;    1;   9.1;   1;-999;-999;   7.7;   8.9; 1001.20;    6.5;   90.00;    8.5;    4.5;-999;eor
       3126;18810311;-999;-999;-999;    1;   0.8;   1;-999;-999;   8.0;   8.9; 1005.70;    5.8;   98.00;    7.5;    3.3;-999;eor
       3126;18810312;-999;-999;-999;    1;   0.0;   0;-999;-999;   6.0;   7.5; 1003.50;    5.6;   78.00;   10.0;    2.6;-999;eor
       3126;18810313;-999;-999;-999;    1;   0.0;   0;-999;-999;   8.0;   4.1; 1018.00;   -0.7;   72.00;    2.7;   -1.3;-999;eor
       3126;18810314;-999;-999;-999;    1;   0.0;   0;-999;-999;   1.7;   4.0; 1020.10;    0.7;   61.00;    4.0;   -1.0;-999;eor
       3126;18810315;-999;-999;-999;    1;   0.0;   0;-999;-999;   0.0;   3.6; 1027.20;    0.2;   58.00;    5.0;   -3.2;-999;eor
       3126;18810316;-999;-999;-999;    1;   0.0;   0;-999;-999;   3.3;   4.3; 1027.30;    2.0;   60.00;    6.7;   -2.3;-999;eor
       3126;18810317;-999;-999;-999;    1;   0.0;   0;-999;-999;   3.7;   5.9; 1022.10;    5.0;   66.00;   12.0;   -0.8;-999;eor
       3126;18810318;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.7;   9.5; 1017.80;    9.0;   79.00;   12.7;    3.6;-999;eor
       3126;18810319;-999;-999;-999;    1;  13.0;   1;-999;-999;   8.0;   8.9; 1006.80;    7.5;   86.00;   11.2;    6.9;-999;eor
       3126;18810320;-999;-999;-999;    1;   3.4;   8;-999;-999;   8.0;   8.4;  999.80;    5.1;   94.00;    7.1;    4.2;-999;eor
       3126;18810321;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.0;   5.3;  995.60;    3.1;   67.00;    6.7;    1.3;-999;eor
       3126;18810322;-999;-999;-999;    1;   0.0;   0;-999;-999;   4.3;   3.7; 1003.20;    0.3;   59.00;    3.5;   -1.4;-999;eor
       3126;18810323;-999;-999;-999;    1;   2.5;   1;-999;-999;   4.7;   4.8; 1010.70;    1.2;   69.00;    4.0;   -1.2;-999;eor
       3126;18810324;-999;-999;-999;    1;   5.7;   8;-999;-999;   7.3;   8.4;  989.60;    6.5;   82.00;   11.2;    1.7;-999;eor
       3126;18810325;-999;-999;-999;    1;   0.3;   7;-999;-999;   4.0;   6.4;  985.00;    4.0;   78.00;    9.6;    2.3;-999;eor
       3126;18810326;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.7;   6.4;  998.40;    3.2;   82.00;    5.2;    1.5;-999;eor
       3126;18810327;-999;-999;-999;    1;   0.0;   0;-999;-999;   4.7;   5.3; 1008.80;    3.1;   68.00;    7.8;    0.0;-999;eor
       3126;18810328;-999;-999;-999;    1;   0.1;   1;-999;-999;   1.3;   6.1; 1005.50;    6.1;   63.00;   12.8;    0.8;-999;eor
       3126;18810329;-999;-999;-999;    1;   0.1;   7;-999;-999;   5.0;   7.6;  996.70;    6.6;   72.00;   16.8;    1.7;-999;eor
       3126;18810330;-999;-999;-999;    1;   0.0;   0;-999;-999;   1.3;   4.4; 1006.40;    2.2;   60.00;    6.8;   -0.5;-999;eor
       3126;18810331;-999;-999;-999;    1;   0.0;   0;-999;-999;   0.0;   4.7; 1012.90;    2.8;   61.00;    7.8;   -2.6;-999;eor
       3126;18810401;-999;-999;-999;    1;   0.5;   8;-999;-999;   0.7;   4.8; 1007.70;    5.3;   52.00;   11.8;   -0.3;-999;eor
       3126;18810402;-999;-999;-999;    1;   0.0;   0;-999;-999;   8.0;   5.3; 1004.00;    2.0;   73.00;    6.2;    0.8;-999;eor
       3126;18810403;-999;-999;-999;    1;   0.0;   0;-999;-999;   5.0;   4.0; 1011.60;    0.7;   60.00;    4.3;   -1.3;-999;eor
       3126;18810404;-999;-999;-999;    1;   0.0;   0;-999;-999;   0.7;   4.1; 1013.50;    0.8;   64.00;    6.4;   -4.5;-999;eor
       3126;18810405;-999;-999;-999;    1;   0.0;   0;-999;-999;   1.7;   4.0; 1007.90;    2.4;   53.00;    9.4;   -3.0;-999;eor
       3126;18810406;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.7;   6.0; 1003.60;    2.8;   80.00;    5.8;   -0.4;-999;eor
       3126;18810407;-999;-999;-999;    1;   0.0;   0;-999;-999;   2.7;   4.7; 1010.80;    4.9;   55.00;   10.3;    0.9;-999;eor
       3126;18810408;-999;-999;-999;    1;   0.0;   0;-999;-999;   4.3;   5.2; 1018.00;    3.5;   65.00;    9.3;   -0.9;-999;eor
       3126;18810409;-999;-999;-999;    1;   0.0;   0;-999;-999;   1.0;   4.9; 1017.90;    2.9;   64.00;    8.2;   -1.5;-999;eor
       3126;18810410;-999;-999;-999;    1;   0.1;   1;-999;-999;   2.7;   5.6; 1016.80;    4.7;   62.00;   10.5;    0.5;-999;eor
       3126;18810411;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.7;   7.7; 1012.20;    7.9;   71.00;   11.7;    2.5;-999;eor
       3126;18810412;-999;-999;-999;    1;   0.0;   0;-999;-999;   6.0;   8.7; 1012.00;   10.6;   65.00;   16.8;    6.7;-999;eor
       3126;18810413;-999;-999;-999;    1;   0.0;   0;-999;-999;   3.3;   8.0; 1015.30;   10.6;   60.00;   16.6;    3.7;-999;eor
       3126;18810414;-999;-999;-999;    1;   0.0;   0;-999;-999;   0.0;   5.9; 1016.00;   10.5;   46.00;   17.0;    3.5;-999;eor
       3126;18810415;-999;-999;-999;    1;   0.0;   0;-999;-999;   4.0;   8.0; 1013.70;   11.2;   60.00;   17.2;    3.5;-999;eor
       3126;18810416;-999;-999;-999;    1;   0.0;   0;-999;-999;   5.3;   8.1; 1011.20;   12.0;   56.00;   18.7;    3.7;-999;eor
       3126;18810417;-999;-999;-999;    1;   0.0;   0;-999;-999;   1.3;   9.7; 1011.40;   12.6;   63.00;   19.9;    2.9;-999;eor
       3126;18810418;-999;-999;-999;    1;   1.8;   1;-999;-999;   3.0;  10.1; 1005.10;   13.7;   61.00;   20.8;    3.1;-999;eor
       3126;18810419;-999;-999;-999;    1;   0.0;   0;-999;-999;   2.7;   6.4;  996.70;    4.3;   74.00;   16.0;    2.8;-999;eor
       3126;18810420;-999;-999;-999;    1;   0.0;   0;-999;-999;   3.3;   6.3;  994.80;    3.3;   77.00;    8.5;   -1.2;-999;eor
       3126;18810421;-999;-999;-999;    1;   0.2;   8;-999;-999;   3.3;   5.3;  995.50;    4.2;   63.00;    8.5;   -1.5;-999;eor
       3126;18810422;-999;-999;-999;    1;   0.0;   0;-999;-999;   6.3;   7.3;  999.00;    6.1;   77.00;   10.0;    1.0;-999;eor
       3126;18810423;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.3;   7.3; 1006.30;    5.5;   79.00;    8.8;    1.2;-999;eor
       3126;18810424;-999;-999;-999;    1;   0.2;   1;-999;-999;   6.3;   7.9; 1008.10;    8.0;   71.00;   11.6;    3.0;-999;eor
       3126;18810425;-999;-999;-999;    1;   4.3;   8;-999;-999;   8.0;  10.4; 1006.30;    9.4;   87.00;   13.3;    5.8;-999;eor
       3126;18810426;-999;-999;-999;    1;   0.0;   0;-999;-999;   6.7;   9.3; 1002.40;    7.2;   92.00;   12.5;    5.8;-999;eor
       3126;18810427;-999;-999;-999;    1;   0.1;   8;-999;-999;   7.0;   7.7; 1008.60;    5.6;   84.00;    8.4;    3.1;-999;eor
       3126;18810428;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.3;   7.7; 1012.00;    4.5;   90.00;    8.2;    2.3;-999;eor
       3126;18810429;-999;-999;-999;    1;   2.1;   1;-999;-999;   6.0;   7.9; 1015.90;    7.0;   77.00;   11.8;    0.8;-999;eor
       3126;18810430;-999;-999;-999;    1;   0.6;   1;-999;-999;   8.0;  11.7; 1008.40;    9.3;   98.00;   12.4;    6.3;-999;eor
       3126;18810501;-999;-999;-999;    1;   0.2;   1;-999;-999;   5.7;  12.0; 1002.10;   11.8;   82.00;   16.8;    6.8;-999;eor
       3126;18810502;-999;-999;-999;    1;   0.7;   1;-999;-999;   6.0;  15.3;  999.70;   14.2;   83.00;   21.3;    6.9;-999;eor
       3126;18810503;-999;-999;-999;    1;   0.9;   1;-999;-999;   5.3;  14.8; 1000.10;   14.9;   81.00;   21.6;    9.7;-999;eor
       3126;18810504;-999;-999;-999;    1;   0.5;   1;-999;-999;   6.0;   8.3; 1011.30;    7.7;   77.00;   12.5;    4.8;-999;eor
       3126;18810505;-999;-999;-999;    1;   0.0;   0;-999;-999;   5.3;   7.9; 1017.70;    8.9;   65.00;   13.5;    4.1;-999;eor
       3126;18810506;-999;-999;-999;    1;   0.0;   0;-999;-999;   5.0;   9.9; 1022.00;   13.2;   57.00;   20.7;    4.3;-999;eor
       3126;18810507;-999;-999;-999;    1;   0.0;   0;-999;-999;   3.0;  10.5; 1024.60;   15.3;   55.00;   20.6;   10.4;-999;eor
       3126;18810508;-999;-999;-999;    1;   5.3;   1;-999;-999;   3.7;   7.7; 1022.60;   10.0;   58.00;   16.3;    4.2;-999;eor
       3126;18810509;-999;-999;-999;    1;   0.1;   7;-999;-999;   7.0;   8.1; 1017.60;    7.2;   78.00;    9.9;    5.4;-999;eor
       3126;18810510;-999;-999;-999;    1;   0.0;   0;-999;-999;   6.3;   6.0; 1023.90;    5.0;   65.00;    7.9;    1.7;-999;eor
       3126;18810511;-999;-999;-999;    1;   0.0;   0;-999;-999;   4.0;   6.1; 1022.80;    6.5;   55.00;   12.1;   -0.2;-999;eor
       3126;18810512;-999;-999;-999;    1;   0.0;   0;-999;-999;   0.0;   5.9; 1019.90;    7.7;   48.00;   14.6;    0.6;-999;eor
       3126;18810513;-999;-999;-999;    1;   0.0;   0;-999;-999;   1.7;   7.2; 1014.10;   11.0;   51.00;   17.2;    5.9;-999;eor
       3126;18810514;-999;-999;-999;    1;   0.0;   0;-999;-999;   2.3;   8.8; 1008.90;   15.3;   46.00;   22.4;    9.0;-999;eor
       3126;18810515;-999;-999;-999;    1;   0.0;   0;-999;-999;   4.0;  11.7; 1004.70;   16.7;   54.00;   23.7;    9.3;-999;eor
